normalized_expression_id,consolidated_expression_id,original_expression,normalized_expression,normalization_changed,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
NPE-000034,CPE-000021,fringe benefits required follow,fringe benefits required follow,no,0400296153e3230c36358c1b21f685d796064b655a78c0638d25046e4415eed8,1,6,SP-000151,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000035,CPE-000025,listing occupation code title,listing occupation code title,no,73fde08f4bd75126970432673b28f17275f82a714a3f439ff4fb1d000d786884,1,6,SP-000157,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000036,CPE-000058,method of solicitation,method of solicitation,no,fdc647cdf6f1c45cf9d5b98b91116f1cfc8dd40a2bd31a85c931a18a61768921,2,6,SA-000561;SP-000561,filtered_alias;filtered_pattern,10,0.47,2026-06-28 02:37:22
NPE-000037,CPE-000026,occupation code title footnote,occupation code title footnote,no,b50ed4730f20aeb4588d2873fe820ad61e79f911508e874aad573b512a0d8182,1,6,SP-000158,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000038,CPE-000024,occupational listing occupation code,occupational listing occupation code,no,a52b565117a242e8f44441efe451e3486b2eaca39086d5e0d591c1a143b388c0,1,6,SP-000156,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000039,CPE-000062,pages amendment of solicitation,pages amendment of solicitation,no,6a5bdb2c69e4d584d3fa048384aedf5cc6f52c89915dc8059e504676b37c4031,2,6,SA-000621;SP-000621,filtered_alias;filtered_pattern,11,0.49,2026-06-28 02:37:22
NPE-000040,CPE-000063,performance work statement pws,performance work statement performance work statement,yes,bfc9c31f594ff7e1cdb23d95035753f2d2eafba2f5933c8618c92ee2b92d3920,2,6,SA-000630;SP-000630,filtered_alias;filtered_pattern,16,0.56,2026-06-28 02:37:22
NPE-000041,CPE-000019,qty 1 ton each,qty 1 ton each,no,2c33cff7a947ddb72375bdf35f1edf202fcda0f4780663b7ad15b0e843053126,1,6,SP-000116,filtered_pattern,8,0.49,2026-06-28 02:37:22
NPE-000042,CPE-000078,quantity unit price,quantity unit price,no,47ff215e13c4a9be4fd91b1ebcab8ee6c778f38b74b8505e42aba32bb5563b57,2,6,SA-000851;SP-000852,filtered_alias;filtered_pattern,12,0.5,2026-06-28 02:37:22
NPE-000043,CPE-000072,request for information rfi,request for information request for information,yes,69281b1a66c31c40e1aed400d3876b7e689969c224c12b01bc5ceddac5467e33,2,6,SA-000760;SP-000760,filtered_alias;filtered_pattern,16,0.56,2026-06-28 02:37:22
NPE-000044,CPE-000074,request for proposal,request for proposal,no,5fe6eb1a647118547d97895f4d4790273b5eb9933552bbd29fa452e974f4ad48,2,6,SA-000821;SP-000822,filtered_alias;filtered_pattern,10,0.47,2026-06-28 02:37:22
