consolidated_signal_id,notice_id,opportunity_title,canonical_value,occurrence_count,importance_rank,weight_hints,mandatory_contexts,evidence_quality,confidence,evidence_examples
CEVAL-000008,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Best Value,7,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000007,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,LPTA,16,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000017,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Source Selection,2,1,method,yes,medium,0.9,The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors. || The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CEVAL-000009,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Technically Acceptable,7,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000016,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Tradeoff,2,1,method,yes,medium,0.9,The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors. || The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CEVAL-000029,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,Source Selection,1,1,method,yes,low,0.9,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is in Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
CEVAL-000028,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,Best Value,1,1,method,yes,low,0.9,“Award will be made to the offeror who represents the best value to the “Award will be made to the offeror who represents the best value to the
