canonical_statement_id,source_count,duplicate_count,opportunity_title,normalized_text_hash,lineage_complete
CGS-000044,1,0,JSCG-P Cristobal Colon Base Life Support,8b6ed2585b63355ff017a8d04c8d33700923dd85c1f179bafe948c561675db90,yes
CGS-000045,1,0,JSCG-P Cristobal Colon Base Life Support,624173261a7d333a3239d429b74359f2b0040c662ec61ea675ccd75873d1c777,yes
CGS-000046,1,0,JSCG-P Cristobal Colon Base Life Support,f388ceb350d5d96d650b651ad35e04a9edf280ff9b1416cb1d6a10a555278e70,yes
CGS-000047,2,1,JSCG-P Cristobal Colon Base Life Support,42591422aba6cc1c4fbc2e163c35b20259fea8c5fe68909648e185a24e7aa484,yes
CGS-000048,2,1,JSCG-P Cristobal Colon Base Life Support,101751124bc65095f088e21f88ab093fa7535cc4c70908fe1c7ab4549ff20f8a,yes
CGS-000049,2,1,JSCG-P Cristobal Colon Base Life Support,cdddb133bfa402632ebaaf0c7cf8916c948e14e718993e3f2784c167d9667dc1,yes
CGS-000050,1,0,JSCG-P Cristobal Colon Base Life Support,ab5538f13e14a673f0008c26ddf6d42313f29df97fc723acc16b29c084cf8b11,yes
CGS-000051,1,0,JSCG-P Cristobal Colon Base Life Support,0884e1d3583d9a5771756c9b6d52f1d455764d999e8b052cab11496682ac219e,yes
CGS-000052,1,0,JSCG-P Cristobal Colon Base Life Support,1552a32e2002b1e7932173857cb00a2c34be0143772ec66cee18413f40bf93c3,yes
CGS-000053,1,0,JSCG-P Cristobal Colon Base Life Support,19e09faff4d21bc5128cb900284280591c9f5a01049f403f0276e4f73a995451,yes
CGS-000054,2,1,JSCG-P Cristobal Colon Base Life Support,f67e56194c0e509c2e5253111617d7a8324c8797a91a4200560afdb0e675459d,yes
CGS-000055,1,0,Socket Head Cap Screws,4693596c53006eaf80ec9f8b078aae7c71188d9e85a6e88068ee7ddcc7f8ed86,yes
CGS-000056,2,1,Socket Head Cap Screws,c80aee0312ce661409e52ca01cb19ddc8b481283538b53f24deb90ac5bf14460,yes
CGS-000057,2,1,Socket Head Cap Screws,cdf9e3369e345765bd7b76b9970578cad59773210b791d5aaffa2cd8be742631,yes
CGS-000058,2,1,Socket Head Cap Screws,151172e54c65ba66d1c778b9bb9588e97f3a7db3fc18f572a1b500a463baa5b3,yes
CGS-000059,2,1,Socket Head Cap Screws,f354702be1855ccddc6b9dbed6ad4ee15f3e34ba0bc6a6549ebdceae508f0eff,yes
CGS-000060,2,1,Socket Head Cap Screws,0777bc218dc32139a1510ad6cd17c07afd82154d10447e100a746fb1d4606147,yes
CGS-000061,4,3,Socket Head Cap Screws,20a68a56fafda7dba59427d9dd61c3949003da503fa24daf4bd5eaa8dde8b821,yes
CGS-000062,2,1,Socket Head Cap Screws,e0156a505f732183f79955d745baadb13176e894f0db77c601424a8c2b60c5b2,yes
CGS-000063,2,1,Socket Head Cap Screws,1fcea66dc6ab9786450c237655fdaa41336cb81a9b5e33899c8eaa255898ac12,yes
CGS-000064,1,0,Socket Head Cap Screws,4d67834a7614a3a8b3e60b47f1b93c04bca92eb0afc7cd9bf834b30d0e691462,yes
CGS-000065,2,1,Socket Head Cap Screws,872144986816460227d66fabe48ec47ee79728d8b1767eb57c46c69a7bb21642,yes
CGS-000066,2,1,Socket Head Cap Screws,576d4e0e98c2ad2a3ae573a0757c042b32a978b1602f7cfdc978fdbbe3242e99,yes
CGS-000067,2,1,Socket Head Cap Screws,9e163eb36037266cd7cfa1d47eed93be74cc213c84c694b47ded801db043b3d1,yes
CGS-000068,2,1,Socket Head Cap Screws,cc834f86c83aac4383c29ba2d72cd9b7f3e594b0f24b81dc41ebeaaac0b46260,yes
CGS-000069,2,1,Socket Head Cap Screws,bda855c074578610000e1e4dc43b7519aff80669936567d60412e7123c756a9e,yes
CGS-000070,4,3,Socket Head Cap Screws,aac5812a8029e86f31bbbd90ed46ec9cc33ddded4a77e7428119999ee19dea79,yes
CGS-000071,2,1,Socket Head Cap Screws,d2dcf74e5e68bf43b6a1dc68fb6e38b6e602a6e300f83aa0063d0afdc4fabd79,yes
CGS-000072,2,1,Socket Head Cap Screws,71cf9a343aca2a9634393a52ef89943af559c7854b2412315f04532359139fc8,yes
CGS-000073,1,0,Socket Head Cap Screws,20eb44b1deed425ed9852594b6cd398b0d2fbf6387943a62d2f8b4840ababe98,yes
CGS-000074,1,0,7195--Solar Shades - B3 PACT,948dfe3653c1adadab9e8c4286d4acda55e36c03ffed9b3c5892be77912b67b9,yes
CGS-000075,1,0,7195--Solar Shades - B3 PACT,43386256746a73281ace86108ac45dab7ed266d52f14b3072daab52e1fed26dd,yes
CGS-000076,1,0,7195--Solar Shades - B3 PACT,2425c644cf28398e3f7b57860ad74f920efcdd8322efa2ff496d39aca42a2d91,yes
CGS-000077,1,0,7195--Solar Shades - B3 PACT,b91d2f471f73327e3af1e041e3b09d25b091f87f7de505ac6429180629541c37,yes
CGS-000078,1,0,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,5c47ab3101ebf1d30dd93e8efa879b950d3c176377edae87d1cf2f2a7e0942dd,yes
CGS-000079,1,0,6515--Dental Panoramic Machine,9d9859d0f2ef1d837db377206eef588cef9ead287077ebddee920c5576e245a1,yes
CGS-000080,1,0,6515--Dental Panoramic Machine,5b36e805978ef604f74a689aa1cff63d6218124cfe0bb867590dd80f61dca1cb,yes
CGS-000081,1,0,6515--Dental Panoramic Machine,6a072532a975a55ba4297d2c61782b81e6debab180aadde1b58ac9b086375008,yes
CGS-000082,1,0,6515--Dental Panoramic Machine,406d70f81ac00f501a6f79037b789010e4395bde1a3f5914e7f57c2c4db38c16,yes
CGS-000083,1,0,6515--Dental Panoramic Machine,a3042845965d76e8e15181fbb8edfb0dcc8b3c63d235455ef0da5cc2f1f5c96b,yes
CGS-000084,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,54353af86362ed8935bc2e6857c2b76cc160251db3cc8ef17f74b3362db1a3f2,yes
CGS-000085,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,08419bfdcd05152c65d5c45d01d86b3c98500e41908968dac12ed53201829c8c,yes
CGS-000086,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,489361485dbe98df3b60897d7e43feae6fd0b3700078f0076b20cf02c19c9030,yes
CGS-000087,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,cf51ef5b06f7b878f100f0848a0bd3892b1661c8a9ba5264295bb48eb3a208da,yes
CGS-000088,2,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,6c1df6a0cafa176e63112d1facc17815adf1725a7ae37faedb4aa34bd53ee7b4,yes
CGS-000089,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,58212d94c47c42bbcec76c18bceec8e17290166dc07d1bc8a37dc6352052d6ed,yes
CGS-000090,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,a0cfc6ce1bb64b2db953bfeb37d556bb1c6f994ba5d329f2379ec5bab3ceae55,yes
CGS-000091,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,e90e32d498c5d0d3db3e52e5a62941707798a1f610529c063e60befa6dbcc313,yes
CGS-000092,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,9b0cd1dcb878a727adbccaa1171a6dce56ecc6628fe5eb019c25bdd929068c3f,yes
CGS-000093,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,414be117df2f9dbf81c1dfcd9a2da707033b304264b774c354662a014df22be5,yes
CGS-000094,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,1484ce1ae7891a032e7927fd651fda0baed560bdf27e1caa1359182d271f933b,yes
CGS-000095,2,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,29e95dd06638c8d81e0d216bc04b31e840ca5d4dd432c0c5f9ea2fbc4bfe0220,yes
CGS-000096,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,743746657b63063a2cfa71004b977759e72350114eb2d73182eee7f41a39a784,yes
CGS-000097,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,8f7df41880f1944e32e97ebc873b82d9a7c0d2723f46fb5d2158b27e5d9a6efd,yes
CGS-000098,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,77c9d4ecc650cb1b42998f59978423479e4d47a1224c231b110f6f22537fe965,yes
CGS-000099,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,ad771c97398ed1c44e77d02796eba1ae991c46be7b43733f8010e644aca11021,yes
CGS-000100,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,d4af47536101b4068111bab94b89e0dec27c6d894ce0e57bdcfd3b22db268b03,yes
CGS-000101,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,efc2f3e37b4ab8a729b4e2a3f9d65004b6fedb6682bb46eaa2133688df5056f6,yes
CGS-000102,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,f57f34aa89aeb7aa76d83f5aed4a8af49ed6c74d9608de8d8b44cde0ccf56f1d,yes
CGS-000103,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,10c7f1d3a03d05cc45a73876e84df3c719e0f9fd6736f90bb39601e60555eb21,yes
CGS-000104,3,2,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,9e0f609856f9aaae1ccec44d5819cc25cfbda0ea25266e7479602b4092de740a,yes
CGS-000105,2,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,9345f89067aedcae60c8dee2bbf147fe67d199186ceb095520c650f2942b2c34,yes
CGS-000106,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,0ab3589c7ba187f41c09d688c3e51190421aca65035f87e4af0230c3f286a16a,yes
CGS-000107,1,0,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,a9a9d3eabf946ce9c1bef6e38c2729d3ef4cf5943392db38aab5c2f1ba31f3a2,yes
CGS-000108,1,0,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,b63e63a20e63e6bb1f11fbe9820431a41b1d2ba0b91792abd2a7e8dbbfb57e48,yes
CGS-000109,1,0,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,147d28dc341b8ea4c88e9c55487ce20e52d70ecc79aaaa4a93975681f9726be0,yes
CGS-000110,1,0,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,b0d09f81a645e4b303cb99d362f778ec63c49839596920d0e516e830a603c388,yes
CGS-000111,1,0,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,875acc15da8a0c997dd4b7ff9d016863cebfb5535ef6cf21a35939ead97c36c6,yes
CGS-000112,1,0,Request for Information: FDA IT Infrastructure Services,11c4944082aac922079caac5280b96475d6899dd2a9f7bb64ea0a0550cd3c15c,yes
CGS-000113,1,0,Request for Information: FDA IT Infrastructure Services,cbcdb049b8ed2d6a92ecd3973cf06822a202e226068fb3ebe4fbf0abeb870897,yes
CGS-000114,1,0,Request for Information: FDA IT Infrastructure Services,9929dc665c048d19f7f2c92c92fcbf83e19fcdd0d56e46ac463150554ca9b7f5,yes
CGS-000115,1,0,Request for Information: FDA IT Infrastructure Services,03b050dd6d4cc083dd443b027de9b8e4471a217ae8fee755abd25b6ce7aded9b,yes
CGS-000116,1,0,Request for Information: FDA IT Infrastructure Services,4c5c5fa47c4e4e5d21dff975ae5793547c48ae21ddb018c30c037ecd07268e6c,yes
CGS-000117,1,0,Request for Information: FDA IT Infrastructure Services,654b8175c45c01d8eadd59b6f299945b8254c8076d81fd0ebe9b93a651175db2,yes
CGS-000118,2,1,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,88870fb5bcbfd0e3976fa2bb0be23a2aa5bb41d52e1f82aea488c3fe00d1fe6a,yes
CGS-000119,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,d2c0ee37a839fc25511c4eaea0723f94a086101a4d1df6f2a9689686c44d51cc,yes
CGS-000120,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,99d39238cce053c7346957b1e939fd79cecc534b8dd965772192155aa7aac364,yes
CGS-000121,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,185f78eb43f1dae282743241768a60bbd32cd03829e278510c0824a4caca985a,yes
CGS-000122,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,118b56ec7a64f528c2d71874898c9a13738e90eee3274e8e3d9445327c098ea7,yes
CGS-000123,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,6034d16fda9040e399d2c60b5271adadb44c85ed693da6353845940784ce7843,yes
CGS-000124,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,0b8addd87754c9abc73f5ba6fdb788e9172bb46afc65e64d03fb9d4498d34fba,yes
CGS-000125,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,62a8c8c6cd87faa0b761494d55313f06aaa2c3787a117d5933835ad3867530fc,yes
CGS-000126,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,d55f64d69c63e76355a0cefb35806e1a85b98b0f997f99860ac95ebcfb538b3f,yes
CGS-000127,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,533c3fea4262d06c4c74814edd4858f8b646475d5e0b9849fdf819ed1b16beed,yes
CGS-000128,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,8600a69f0d02fc52397e99f84053821179685a2499d29ee1ae5b85bfde819da9,yes
CGS-000129,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,ed3b21356a592cf7f26d0dc91caa93a2c6cabeb3f196673d11158ec0795451e4,yes
CGS-000130,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,17b74dea5bc59801ffafa67c1cb7373c27a1282018920620d5d59afcda072b46,yes
CGS-000131,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,43c0750b71c15aba15e1f9bd10542c2ba2b694662a893dc0b950dde4fee4a524,yes
CGS-000132,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,ec92d318f0405aaef40aceedcec0ade60848fed95c2cd7e3bccd2c113809f58c,yes
CGS-000133,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,4e0c0a243f8300bbed17330e9e9a60136cb63bf346573bce8da8e6f4329fced7,yes
CGS-000134,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,17bf7f96e69f4384ae8562b5d780fa8bf4ec7dfbaa0b2fe21980479d682d703b,yes
CGS-000135,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,8b42b0368beb34c1415b0571e065e39ce3854a79ec0a3bff7989265031e9c02d,yes
CGS-000136,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,1f4f7542b82c7d80e4675ddc28139d2827be56e3ee0d81a465a658e299961356,yes
CGS-000137,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,89778dc955fcef6b04883414f79c0bd1183834a6436c268a325e0a116e6b55ff,yes
CGS-000138,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,59b6c56e0d5535dba19e696bc85f7be89333d03d4d4ad4d0bc2593ca80a43b75,yes
CGS-000139,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,4cffb23069864514bffb1ff51441060fb01badd58fd2ac782cfba6fe7d6eabfa,yes
CGS-000140,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,41885a6868072a9b6c46fcdf51d0f5e506dcf0f4dd392c0b8014af489bc80329,yes
CGS-000141,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,011ba615e5144e434603619ddd6676ae17551d3c41b5275c7934e6ae382a25d3,yes
CGS-000142,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,e9016102849eaf31479e86dcb5d662c04137feb0c86827a4455e0f515156611c,yes
CGS-000143,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,06596284520811d4180b25993d6bb8660c9dcd3929d111e0a26bfaa26af413db,yes
CGS-000144,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,05d35e2a08074e87960413d0d89839d0de34a48a724d55abc58d52d56bb10120,yes
CGS-000145,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,74f7172756a899b68a63c34a7607eceb16e6366ef11c24ca3ebdddd92b027c51,yes
CGS-000146,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,92bba62d901f81307001cd087cc877a1fc04389d89c251ab83cfa12cd871c7b6,yes
CGS-000147,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,d90805a5c961844f9f64a948544d80c9ac9adabb389624e993feeb9dabfadd20,yes
CGS-000148,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,568d52fe1d450133609966e599c6d294362387285f191677913b70260153ddfa,yes
CGS-000149,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,ff46c65b6bfef5b7e5d946dd498d02e6c3f537c5f62757d7863ba28a0619a65f,yes
CGS-000150,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,edab60743bc6f83c5813c9292554bc02f71e00d6191e90624055b59138fdad35,yes
CGS-000151,1,0,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,67f581c7a56205833d0f524d96e32722c3b7657d7d0b0e7012ec8fbc11c86648,yes
CGS-000152,5,4,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,fc9eb696e6fcdf3176e5800c48b617aa499e0d80a9f89481e00c3c18980f2bc8,yes
