supplier_master_name,renewal_count,renewal_value
Milestone Environmental Contracting Inc.,2,29755697.72
Imperial Cleaners Ltd,14,29534927.88
"Adirondack Information Management Inc., Entrust Limited, Artemp Personnel Services Inc., The Aim Group Inc., In Joint Venture",2,29035657.58
Nunavut Arctic Services,6,28821583.94
Aerex Avionics Inc/aerex Avionique Inc,3,28743750.0
Petrovalue,3,28660960.56
Motorola Solutions,3,28238721.32
Nuna East Ltd,1,28140485.51
Vaisala Oyj,2,28112045.08
Ffg Flensburger Fahrzeugbau Gesellschaft Mbh,5,27639538.0
Tcds,4,27632905.9
Ifathom Corp,2,27114268.44
S&p Global,7,27035448.55
Cambli Group Inc,2,26143421.72
S I Systems Ltd,5,25641145.58
Amex Bank OF Canada,1,25628148.0
"Granicus, Llc",1,25475059.05
"Mindwire Systems Ltd., Akkada Professional Services Inc., Hubspoke Inc., In Joint Venture",2,25399518.93
Jcl Investments Inc,2,24950968.1
National Services Aux Immeubles,5,24775045.84
Casp Aerospace Inc/casp Aerospatiale Inc,1,24719625.0
Bell,2,24668683.77
Tpg,3,24590010.76
Twin Feathers Fuel Ltd.,1,24539124.83
Kbl Projects Ltd,2,24134831.21
Reliable Window Cleaners (sudbury) Ltd,4,24120577.86
Space Strategies Consulting Ltd,2,23611992.34
CGI Information Systems And Management Consultants Inc./conseillers EN Systemes D'information ET EN Gestion CGI Inc.,2,22535101.0
Avondale Construction,1,22464578.4
Hfi Pyrotechnics Inc,3,22192066.53
Zutphen Contractors,3,21710397.82
R J G Construction Ltd,2,21567847.5
"Tato Recruiting Inc., S.i. Systems Ulc., In Joint Venture",2,21368013.92
Groupe Onscope Inc,1,21351168.54
Jasco Applied Sciences,4,21015748.49
Groupe Excelso,1,20910449.67
Black & Mcdonald Ltd,10,20880276.9
1872087 Ontario Inc,1,20784362.53
Sdl International (canada) Inc,2,20708006.94
Keystone Environmental Ltd,4,20640000.0
Gdms-c,1,20340000.0
Vector Aerospace Engine Services-atlantic Inc,1,20230397.82
"Narl Marketing Inc., North Atlantic Refining Corp., In Joint Venture",1,20154791.05
"Government Of Nunavut, Department Of Community And Government Services, Petroleum Products Division",1,20000000.0
Slr Consulting (canada) Ltd.,2,19300000.0
Marpro Marine Services Ltd.,1,19233039.14
LP Royer Inc,2,19203997.46
Raymond Chabot Grant Thornton,3,19149250.0
Patlon Aircraft & Industries,7,18927982.7
Bridgestone Canada Inc,4,18900000.0
Cls Lexi-tech Ltd,25,18805523.78
United States Department OF The Navy (spawar),5,18467165.0
Meggitt Training Systems Canada,1,18428829.0
"Onaki Creation S.e.n.c., Ibiska Telecom Inc., In Joint Venture",1,17912749.54
Imprimeries Transcontinental 2005 S.e.n.c.,1,17252940.57
Airborne Systems Ltd,1,17196723.0
Ropack Inc,1,17177197.26
Bell Mobility Inc (radio Division),1,16950000.0
Bulldog Contracting Ltd,2,16743206.5
Promaxis Systems Inc,3,16713189.16
Bavarian Nordic A/s,1,16684815.0
Allied Shipbuilders Ltd,1,16652089.83
Zht,5,16060751.06
Alliance Humakare,1,15863100.37
The John Howard Society OF Canada,6,15831214.84
Toyota Canada Inc,1,15742535.93
Irving Oil Ltd,1,15741886.95
Leonardo MW Ltd,1,15700000.0
Holland College,1,15679760.39
T0.technology,6,15498907.87
United States Department OF The Navy (misc),2,15461715.0
Top Notch Enviro-ex Joint Venture,1,15411375.0
Neoprene Canada Inc,1,15232310.0
"Marshall Aerospace Canada, Inc",1,15200000.01
Strong Bros Heating & Air Conditioning & General Contracting Ltd,1,15119431.38
13618153 Canada Inc,1,14849795.02
Dragage Océan DM Inc.,1,14847190.84
Coradix Technology Consulting Ltd,1,14762394.35
Maplesoft Group,1,14713220.64
Formula Contractors Piling And Bridge Ltd.,1,14708763.3
Peters Bros Construction Ltd,1,14645621.55
Sierra Systems Group Inc,3,14558301.18
Northern Industrial Construction Ltd,1,14544774.85
Act Inc,14,14228201.04
Esri Canada Ltd,42,14175845.64
Valcom Consulting Group Inc,5,14175432.1
The Halifax Group,1,14046743.67
Stantec Experts-conseils Ltée,11,13908171.16
Compass Group Canada Ltd,2,13903381.1
Home Hardware Stores Limited,1,13894760.64
Wescam,1,13827015.8
Gestion AJ (2003) Inc,1,13790434.9
Brawn Construction Ltd,2,13736668.78
Logiciels Purkinje,1,13681028.45
Carleton University,3,13268171.78
"Adrm Technology Consulting Group Corp., Randstad Intérim Inc./ Randstad Interim Inc., In Joint Venture",1,13265574.3
"Ppm Civil Constructors, Ulc",1,13258048.65
Abco Industries Inc,4,13203940.46
Driving Force,1,13152825.0
Enterprise Rent-a-car,1,13152825.0
Commander Pacific Fleet (compacflt),1,12934115.0
"Indal Technologies, A Business Unit OF Curtiss-wright Flow Control Company",1,12651000.0
Défense Simex Inc,4,12553143.54
Camosun College,2,12539445.68
United States Department OF The Army (tradoc),4,12324213.0
Lloyd Libke Law Enforcement Sales,1,12083251.25
Sperry Marine Canada,3,12028502.55
"World Fuel Services Canada, Ulc",1,11791050.0
Bronwserk Marine Inc.,2,11556700.0
Petro Air Services Inc,2,11453214.44
Abb Canada,8,11405428.32
US Edirect Inc,1,11202235.0
Cme,11,11197874.76
Cofomo Ottawa,2,11041955.44
Westower Communications,3,11010038.2
Marine Contractors Inc,1,10957488.65
"Advanced Chippewa Technologies Incorporated, Modern Deploy Technology Inc., IN Joint Venture",2,10926123.21
"Broco, Inc.",2,10799020.0
Sterling Fuels,1,10792638.09
Bonnechere Excavating Inc.,2,10721632.44
"Dexterra, Dexterra On Demand Inc., Dexterra On-demand, Dexterra Services Llc, Vci Controls",11,10706510.2
Air Inuit Ltd,1,10571177.36
MDA Space,2,10555217.07
Adirondack Information Management Inc,2,10537784.65
Architecture49,4,10513945.65
Tetra Tech,1,10500000.0
Med-eng Holdings,2,10500000.0
Steeple Inc,1,10429708.0
Fujitsu Consulting (canada) Inc/fujitsu Conseil (canada) Inc,1,10342001.25
Cae,1,10340775.0
Englobe Corp.,12,10339271.7
Niksik Leasing & Sales,2,10233244.7
Madsen Diesel & Turbine,4,10176507.0
Raymond Chabot Grant Thornton Consulting Inc,1,10035995.2
Alliance Engineering & Construction,2,10009422.19
Sysco Maritimes / Sysco Edmonton / Sysco Quebec,13,10000012.0
Gordon Food Service,2,10000001.0
Atlantic Grocery Distributors Ltd,1,10000000.0
Logistik Unicorp Inc,1,9979533.0
Snc-lavalin Inc,10,9948030.1
Mckesson Canada,1,9600000.0
Ramco Systems Canada Inc.,1,9441099.15
Samson & Associes/samson & Associates,8,9342049.93
Procom,1,9282800.0
Pennecon Energy Hydraulic Systems,4,9100000.0
National Security Agency (nsa),2,8830999.0
Concierge International,2,8819243.33
Beaulieu Plumbing And Mechanical,1,8714700.0
Michelin North America (canada) Inc./michelin Amerique DU Nord (canada) Inc.,3,8700000.0
Aramark Quebec,2,8682074.98
Caltrio Company Ltd,5,8652277.68
Avon Polymer Products Ltd,1,8551683.5
Intertek Carnot Emission Services,2,8446022.18
Oxford Instruments America Inc,1,8399224.0
Progressive Ventures Construction Ltd.,1,8372129.87
Entrust Limited,4,8338234.5
"Gambit ID Inc., ADGA Group Consultants Inc., In Joint Venture",1,8332238.25
MDA,2,8092448.22
Bcs Automation,2,8052235.84
Lengkeek Vessel Engineering Inc,2,7986525.0
Q-block Computing Inc.,3,7959720.75
Cégep Saint-jean-sur-richelieu,1,7939263.48
Sani-sable LB Inc,2,7867573.06
Construction Polaris Cmm Inc.,2,7826348.25
R.w. Tomlinson Ltd.,2,7810792.76
Nuix Canada Inc.,4,7741584.04
Saab Dynamics Aktiebolag,1,7726320.0
Gea Mechanical Equipment Inc,3,7685500.0
Griffon Hoverwork Ltd,3,7654275.77
United States Department OF The Navy (netsafa),3,7647787.0
Industries Océan,1,7638436.83
Donna Cona Inc,24,7590236.36
Polaris Government & Defense,1,7533896.56
Artex Sportswear Inc,1,7525629.0
Altis Specialized Professional Resources And/or Altisspr And/or Altis Professional Recruitment,1,7425545.4
Lifespeak Inc,1,7383081.75
Hill+knowlton Strategies Canada,2,7326918.87
Als Environmental,2,7318500.0
Postmedia Network Inc,2,7250193.47
Overland Custom Coach (2007) Inc,1,7165615.68
Republic Architecture Inc,8,7145664.27
"Coastal Conservation, Inc.",1,7144539.14
Sila Remediation Inc.,3,7084592.03
Sixnar Construction Inc.,2,7082735.65
Tiree,1,7029145.14
Cornerstone On Demand,3,7003869.33
Kia Canada Inc,1,7000000.0
R&r International Translation Specialists Inc,9,6919887.0
United Rotary Brush Corporation,1,6900000.0
Cbcl Ltd,9,6874693.49
United States Department OF The Army (usasac),6,6872064.0
Asdr Canada Inc.,5,6860929.39
Dexter Construction Company Ltd,2,6836580.0
Progressive Waste Solutions Canada Inc,4,6781805.94
Taggart Construction Limited,2,6775214.96
"Mitsubishi Motor Sales OF Canada, Inc",1,6773291.42
Avi-spl Canada Ltd,1,6742766.9
Thompson Boiler Works Inc,2,6651312.2
Northwest Marine Technology,1,6622550.0
Thomas Fuller Construction CO Ltd,1,6577831.33
Dragage IM,1,6564480.22
Horizant Inc,8,6534411.32
Veyron Projects Inc.,1,6522546.43
Vectored Propulsion Technologies Inc.,3,6507530.98
"Architecture49 Inc, Len Ward Architecture, Inc, IN Joint Venture",1,6499452.77
General Dynamics-ots Canada Inc.,1,6492689.47
Commercial Truck Equipment,1,6471356.84
Global Spatial Technology Solutions Inc. (gsts),2,6464025.59
Pivotal Power Inc,2,6434188.0
David Carriere And Associates Inc,1,6423353.32
Goodyear Canada Inc,2,6400000.0
Forward Mining,1,6373989.49
Pavex Ltée,1,6366869.82
Tundra Technical Solutions,1,6251961.09
Northern Sky Architecture Inc,2,6213204.52
Ainsworth,6,6195522.81
Vancouver Drydock Company Ltd,1,6130936.63
Pcl Construction Management,1,6114814.88
"Bbb Architects Ottawa Inc, Adamson Associates, IN Jointventure",1,6098466.0
Les Entreprises P E C Inc,4,6084030.37
"Oclc, Inc.",3,6014318.66
Mustang Survival Corp,2,6011975.73
Walker Technical Inc.,1,6000000.0
Abb Inc. (paen),2,6000000.0
Heliwelders Canada Ltd.,1,5981500.0
Cima + Senc,2,5962902.15
Canal Marine & Industrial Inc,5,5936704.46
Winkler Building Supplies (1981) Ltd.,1,5931058.01
Asokan Business Interiors,23,5914722.98
Mcelhanney Consulting Services Ltd,4,5911362.95
Salumaq Environmental Contracting Ltd.,2,5910507.96
Tomlinson Environmental Services,2,5869807.04
Gilmore Global,3,5798500.0
Ndc Construction Ltd,1,5796000.0
Nova Scotia Community College,3,5776542.35
Beyond Technologies Consulting Inc,1,5759971.56
1956466 Ontario Inc O/a Jwk Contracting,1,5754039.1
Rhenus Logistics Canada Ltd,1,5749250.0
Sfc Energy Ltd,1,5748750.0
Niche Technology Inc,1,5748570.94
Cae Aircrew Training Services Plc,1,5657300.0
Springcrest Inc,1,5650000.0
"The Armored Group, Llc",2,5650000.0
Outlaw Eagle Manufacturing Ltd,5,5642828.51
Levio Conseils Inc.,1,5608354.61
Laporte Experts Conseils / Laporte Engineering,1,5584768.49
Mission Control Space Services Inc,2,5564299.89
Mackay Marine Canada,3,5562916.53
Siemens Canada Ltd,9,5557142.5
Ribbit,2,5551174.8
Soft Computer Consultants,1,5549178.29
Tactiql Inc.,3,5532032.83
Trm Technologies,1,5524120.47
Pac Seafood Canadian Vessel Holding Inc,1,5460000.0
Silliker Canada CO,1,5423672.38
704507 Nb Ltd,2,5405000.0
Sante Health Services,2,5398224.98
"Fenix Group, Inc",1,5396025.0
Westpeak Projects Inc.,1,5376824.25
Joseph Elie (petro-canada),2,5361434.7
AB Precision (poole) Ltd,2,5359918.66
Intercon Marine Inc,5,5345106.06
Bouthillette Parizeau Inc,2,5341207.1
Gdi Integrated Facility Services,4,5325121.65
Nations,11,5323532.24
Maçonnerie Rainville & Frères Inc,1,5277352.5
Island Temperature Controls Ltd,1,5250000.0
Bomimed Inc,2,5234753.54
Magic Light Games Inc,1,5200000.0
"1511995 Ontario Ltd, Tundra Technical Solutions, In Joint Venture",1,5196839.61
2151706 Ontario Inc.,1,5172736.45
Office Move Pro,1,5156900.0
Inter-op,3,5126603.37
Enveloppe Concept Inc,1,5117000.0
Janes Group UK Ltd,1,5085000.0
Construction Renaud & Vigneau Inc.,3,5066608.05
Ansys Canada Ltd,16,5044906.27
Wildlife Computers,1,5000000.0
Pattison Sign Group Inc.,1,5000000.0
Nitam Solutions Inc,12,4985557.57
In-line Contracting Partnership,1,4973466.75
Tritech Group Ltd,1,4967572.21
Apparel Trimmings Inc,3,4905979.25
"Techsol Marine Inc., François Lessard, In Joint Venture",4,4884682.14
Millbrook Tactical Inc,3,4878298.86
Spécialists De La Traduction R&r International Inc,6,4836764.88
Evoq Architecture,4,4827924.15
Agilent Technologies,9,4786849.8
Globvision Inc,2,4786223.04
Dymech,4,4767311.87
Chandos Construction,2,4764025.36
Nutritek,2,4761647.08
Military Travel Inc,3,4750000.0
Ats Traffic,1,4721824.82
Thermo Fisher Scientific (mississauga),12,4715227.08
Slm Solutions (canada) Ltd.,2,4694630.12
First Air,1,4680504.29
L Breau And Sons Ltd,1,4655359.47
Delco Security,1,4643635.0
Rampart International Corp,3,4597720.0
Marine Transportation Services,2,4525618.65
AB Sciex LP,4,4515431.25
Canadian Paediatric Society,1,4507297.63
Advanced Energy Management Ltd.,5,4504044.5
Materials Distribution Agency,1,4500000.0
Jeppesen Foreflight,1,4492772.0
Nanuk Protection D'équipements Inc./nanuk Gear Protection Inc.,1,4491826.24
Mackinnon & Bowes Ltd,1,4478901.9
Canadian Bureau For International Education,1,4468522.8
Spu,1,4459450.08
Testforce Systems,6,4443475.0
Bruker Ltd,8,4437827.14
Ador Tech Inc.,19,4431344.9
Levitt-safety Ltd,3,4431158.15
Rheinmetall Electronics Gmbh,1,4427614.98
Ova Inc,7,4376162.17
Gfl Environmental Services Inc.,4,4365067.6
Softnav Systems Inc,1,4363301.25
H2 Analytics,2,4352459.44
The Salvation Army Dunsmuir House,1,4347123.68
The Royal Architectural Institute OF Canada,3,4344146.47
Fleetway Inc,1,4320000.0
Seaspan,1,4320000.0
Vard Marine Inc,1,4320000.0
Megalexis Communications Inc,8,4317888.0
Les Constructions Beland & Lapointe Inc.,1,4290162.84
Nu Instruments,2,4249577.44
152610 Canada Inc,2,4197691.83
Les Technologies Forensic (canada) Inc.,2,4165029.84
Uniform Works Ltd,2,4154412.0
Ebsco Canada Ltd,10,4134885.33
Rheinmetall Landsysteme Gmbh,1,4127543.37
Questel Orbit Inc,1,4094117.3
Fox Translations Ltd,1,4067830.5
A Hundred Answers Inc,1,4049250.0
Cleeve Technology Inc,1,4044928.0
Wildstone Construction & Engineering Ltd,1,4015601.1
Maxsys Staffing & Consulting,2,4007938.35
