supplier_master_name,renewal_count,renewal_value
Bristow Instruments (1977) Ltd.,5,2400219.62
Mcmillan Llp,1,2373000.0
Dalsa Inc,1,2363685.55
Barrons Refrigeration & Heating Ltd,2,2362500.0
Quantum Bridge Technologies Inc.,1,2353296.75
Symetri Canada Inc.,3,2349866.75
Toure Cleaning Services,1,2343514.16
Samson Enterprises Ltd,1,2338420.34
Entreprises Verrecchia Inc.,1,2319591.88
Xanalys,1,2306625.13
Valley Refrigeration Ltd,1,2300000.0
Sikumiut Environmental Management Ltd,1,2300000.0
University OF Guelph (lab Services),1,2300000.0
Homestar,2,2287925.0
Sym Communications,7,2268916.65
Ultra Communications,1,2264869.47
Creaform Inc,3,2261144.34
Decisive Technologies Inc,1,2255001.23
Candorbuild Construction Corp,1,2250000.0
Wocasa Supply Inc,1,2243089.55
Service Star Building Cleaning Inc,3,2241110.76
Sbq,1,2237475.24
Rollantech Inc.,7,2235861.38
Earthdaily Analytics,1,2232852.16
Nato School Oberammergau,1,2232102.14
Fastenal Canada,1,2222222.22
"Brogan Safety Supply, Division Of Guillevin International Co.",1,2222222.22
Loraday Environmental Products Ltd,1,2222222.22
Centuryvallen,1,2222222.22
Tenaquip Limitee/tenaquip Limited,1,2222222.22
Acklands Grainger,1,2222222.22
Softchoice,14,2220569.8
Ndc-fournier Inc.,1,2203564.52
Cjv Pas Aeromag,1,2196124.87
9148736 Canada Inc,1,2192400.0
Airsuite Inc.,1,2184632.45
Nails Enterprises (2007) Inc.,2,2157750.0
Capital Foodservice,1,2150000.0
Flex Knit Inc,1,2142690.0
Mikisew Landing Limited Partnership,1,2142367.52
Techi?q Limited,1,2141485.45
Soucy International Inc,1,2135906.61
West Coast Tug & Barge Ltd,2,2124914.21
Ansys Government Initiatives,2,2122551.32
"Tci Translators, Conference Interpreters Inc",3,2121423.85
Ibi Group,1,2116770.39
Intellera Inc,1,2115540.0
Online Constructors Ltd,1,2112755.4
Dga Clean-air Services Ltd,1,2100000.0
Beyond Aerospace Ltd,1,2094655.49
Aklak Air,1,2090214.7
Norda Stelo Inc,1,2084774.99
Canadian Broadcasting Corporation,1,2034000.0
Tti Tactical Technologies Inc,1,2031608.92
Broder Electric Ltd.,1,2026810.87
Abloy Canada Inc,3,2025000.0
Hawboldt Industries (1989) Ltd; Hermanos Toimil Garcia SL IN Joint Venture,1,2024000.0
Allium US Holding Llc,6,2007608.85
Kubota Canada Ltd. Kubota Canada Ltée,1,2000566.87
Kent Building Supplies (division OF J.d.irving Ltd),1,2000000.0
Cubex Equipment,1,2000000.0
Terragon,2,2000000.0
Telerob Gesellschaft Für Fernhantierungstechnik Mbh,1,1998625.53
2220742 Ontario Ltd,1,1996570.02
Smiths Detection Canada,1,1994631.0
Western Petroleum Newfoundland Ltd,1,1988207.0
Envirosafe Janitorial Inc.,4,1978763.05
Ara Robotique Inc / Ara Robotic Inc,1,1978592.25
Total Compensation Consulting,1,1963636.38
Mea Health,1,1963318.5
United Rentals,4,1953739.4
"Subaru Canada, Inc",1,1946203.99
Channel Management International,2,1932797.37
Abi,5,1932730.07
Waters Limited/waters Limitee,7,1928702.26
Homewood Health Inc,1,1918395.11
Darr Welding And Fabricating Ltd,1,1892000.0
Erm Consultants Canada Ltd,1,1890000.0
JH Acquisition Llc,2,1883739.38
Visiontec (2008) Ltd,1,1882944.6
Très Bonne Idée Inc.,2,1879625.67
Evident Scientific,2,1872458.7
"Tesla, Inc.",1,1869588.66
Helifor Industries Ltd,1,1869000.0
Sodrox Chemicals Ltd,1,1868750.0
Dpl Science,1,1868301.21
Honda Canada,1,1864667.23
Canadian Standards Association,3,1850282.84
Staff Shop Inc.,2,1842151.92
Shm Canada Consulting Ltd,1,1841670.0
Pelham Electric & Refrigeration Ltd,1,1840000.0
Canadyne Technologies Inc,1,1840000.0
University Of Western Ontario,1,1839866.0
Shift Coastal Technologies Ltd.,1,1839770.68
Larue,1,1828373.5
MC Countermeasures Inc.,1,1820680.16
Gambit IT Solutions Inc,2,1810602.75
Stonehaven Productions Inc,1,1804815.77
Bellboy Drycleaners,1,1800000.0
"Don Wehage Trucking Ltd.,101247885 Saskatchewan Ltd.,101247879 Saskatchewan Ltd.,101247866 Saskatchewan Ltd.",1,1800000.0
Automatic Controls (edmonton) Ltd,3,1782356.0
Kongsberg Mesotech,2,1780061.63
Twenty20 Insight Inc,1,1753268.0
Mccrea Equipment Rentals,2,1751895.5
Kbi Construction Inc.,1,1750000.0
Bluewater Lubricants Limited,1,1739310.05
Go Deep International,5,1732373.73
PK Van Bodies,1,1727734.96
Office OF Sponsored Research - Mcgill University,1,1724625.0
The Royal Institution For The Advancement Of Learning/mcgill University,1,1724625.0
Sonovision Canada,2,1724625.0
"Teledyne Instruments, Inc",1,1724437.19
Teledyne Webb Research,1,1724437.19
Qoherent,2,1723988.0
Cube Construction Ltd,2,1722475.27
Rush Truck Centres OF Canada Limited,4,1711776.75
Collins Barrow Edmonton Llp,1,1706460.0
Intelligent Review Technologies Inc,1,1694942.28
Amtech Aeronautical Ltd,2,1694542.5
Airborne Support Group Llc,1,1693997.0
Gfl Environmental Inc,3,1692270.68
G N Johnston Equipment CO Ltd/equipement G N Johnston Ltd,1,1688556.19
"Techno-sciences Canada, Ltd",1,1683041.77
Robertson Martin Architects Inc,1,1679739.92
Flight Safety International,2,1676600.02
"St-gelais Montminy & Associis Architectes, Sencrl",1,1674301.0
Bpa,1,1659380.24
Csf Inc,1,1655433.05
Wasauksing First Nation,2,1652143.77
Inter-projet,1,1651229.23
HF Sinclair,1,1644686.69
Isomass Scientific Inc,2,1642406.71
Allen Maintenance Ltd,1,1634691.03
Brandt Tractor Ltd,3,1633811.0
Kmstandards Llc,1,1627223.57
Royal Environmental Inc,2,1622275.01
Mes Simulation & Training Corp,1,1621291.0
Avestec Technologies Inc.,1,1615223.9
Mallen Gowing Berzins Architecture,3,1613750.44
Peerless Garments LP,1,1608927.6
Iron Maple Constructors Incorporated,2,1607535.74
Mercury Marine Ltd,1,1600000.0
Kepler Communicatons,3,1599379.76
Equinix Canada Ltd,1,1591789.0
C&l Construction Ottawa Limited,1,1591020.56
Felix Technology Inc,8,1582333.01
Quidelortho Canada Corporation,2,1579821.12
Vast Tsi,1,1575000.0
Ferus Inc,1,1575000.0
Colectica,1,1570452.38
Honeywell Limited/honeywell Limitée,4,1553818.3
Airboss Defense Group,2,1545325.11
Niq Canada,4,1545301.14
Les Entreprises Francois Villeneuve,1,1544171.74
Ryans Electrical & Security Services Ltd,1,1539000.0
Specialty Building Services Inc,1,1537966.49
Jones Group Ltd,1,1525500.0
Pivotech Doors Inc,4,1523635.7
Tulmar Safety Systems Inc,1,1500000.0
Royal Canadian Mint,1,1500000.0
Lotek Wireless Inc,1,1500000.0
Arrow Property Service,1,1499419.95
Wearwell Garments Ltd.,2,1492754.29
Drapeaux ET Bannieres Letendard Inc,1,1488984.05
Hexagon,4,1487857.16
Chubb Fire & Security,3,1485969.25
Wajax Power Systems / Wajax Systemes DE Puissance,3,1482710.0
Lemay.ai,1,1478941.77
Great Slave Helicopters Ltd,2,1470999.0
Wear Well Garments,1,1465930.92
Thermofisher,1,1464067.52
Algonquin Opportunity (no 2) Corporation,1,1462535.0
1312511 Ontario Inc O/a VS Landscape Group,2,1459451.5
Dmti Spatial Inc,4,1454752.03
Acadian Construction (1991) Ltd,1,1451070.0
Opex Corporation,1,1446240.46
Bornea Dynamics,5,1441427.86
Sutron Corporation,1,1430525.48
Ott Hydromet,1,1430525.48
Ecomedes Inc,1,1429490.4
Hyperion Consulting Services Inc,3,1425115.05
"H3d, Inc",1,1423800.0
Dillon Consulting Limited/les Consultants Dillon Limitée,2,1422270.0
American Champion Aircraft Corp,1,1420150.0
Coupland Kraemer Architecture + Interior Design Inc,1,1418751.8
Philip,1,1410884.4
Airport Technologies Inc,2,1410706.8
Imsar Llc,1,1396488.83
Asco Construction Ltd.,1,1394420.0
Easy Aerial Inc,1,1382644.98
Salzmans Carpet And Tile,1,1380000.0
Traduction Trans-it Inc,1,1379700.0
Ieee,2,1378656.3
Airon Hvac And Control Ltd,1,1373015.33
BGIS / BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,1,1373015.33
Heyl Chem.-pharm. Fabrik Gmbh & Co. KG,1,1364982.57
CD Nova Ltd,1,1344483.18
Ghost Risk Management Security Inc.,1,1343616.04
Bloomberg Finance LP,10,1343452.21
Norseman Inc,2,1341947.9
Aspin Kemp & Associates Inc,1,1340068.0
Rauay Trading,1,1336832.0
Thinkrf,1,1334580.66
Queens University AT Kingston,5,1332284.36
Squeaky Clean Ltd,1,1331252.44
Les Autobus E Menard ET Fils Inc,1,1329273.25
F Mckinnon & Sons,1,1326150.0
Sable Aviation,1,1326013.8
Oscps Motion Sensing Inc,1,1322694.5
Cellula Robotics Ltd,1,1322410.3
Lunar Medical Inc.,1,1321798.98
"Cutwater Maritime Educational Services, Inc.",1,1318882.5
Amplexor Canada,2,1313590.0
Miller Environmental Corporation,1,1312768.34
Sirsidynix,3,1306743.1
Pinette Emidecau Industries,1,1299232.02
A.w.leil Cranes & Equipment (1986),2,1289955.0
Voltari Marine Electric Inc.,1,1281675.0
Roys Pontiac Buick Chevrolet Gmc Inc,5,1280107.21
Pitney Bowes Software Canada Inc,1,1278000.0
Smarter Alloys Inc,1,1275603.0
"Oxford Economics Usa, Inc",2,1272689.33
Acuren Group Inc,1,1272175.8
Hitachi High-technologies Canada Inc,2,1270881.67
"Thermo Labsystems, Inc",2,1268702.87
Itb,3,1265155.5
Telus Health Solutions Inc./ Telus Health Virtual Care Inc.,1,1262264.71
Smart Electrical Contractors(2007) Ltd,1,1260000.0
Litiere Royal Inc,1,1258339.75
Indigenoustechai,1,1251906.1
Rockwell Collins,2,1246566.0
Nachurs Alpine Solutions,2,1242022.48
Etuuda Industrial Distribution,1,1237706.2
Nabsa Tech Inc,5,1234686.7
50906 Nfld & Labrador Ltd. O/a Platinum Builders,1,1232271.0
Toronto Star Newspapers Limited,1,1227936.57
Gregory Kerr Limited,1,1220028.0
Felix And Paul Studios,1,1216104.37
Collision Analysis (calgary) Ltd,1,1215900.0
Ubiqus Canada Inc,4,1214711.38
Westpier Marine And Industrial Supply,1,1214313.19
Guy Thibault Chevrolet Buick Gmc Cadillac Ltée,3,1212404.49
Sani Bleu Inc,1,1207237.5
Elcome International Inc,1,1203181.85
Blue Water Group,1,1200000.0
Pitchbook Data,1,1196314.88
Cepheid,1,1196200.83
Forum Research Inc,1,1192195.2
Yard Boys Ltd,1,1190747.67
Telos Corporation,2,1183921.41
Cores Worldwide Inc.,2,1176716.58
Messer,3,1176554.23
Sparkes Subsea Construction,1,1175875.0
Speico Building Services,1,1170240.84
"Illumina Canada, Inc",6,1160516.33
Christie Innomed Inc,1,1160000.0
Spectrum Group,1,1155452.08
"Martin-baker America, Inc",1,1154988.5
Eclipsys Solutions Inc,2,1152465.14
Heddle Marine Service (nl) Inc,3,1151784.73
Dillon Aero Inc,1,1150989.79
Dominion Diving Ltd,1,1150206.0
Invicton Labs,1,1150000.0
Titanium Construction Ltée,1,1149998.85
Adf Diesel,1,1149750.0
Gestion Septem Inc,1,1148255.33
Mlai Analytics Inc.,1,1147427.45
Tuyauterie Expert Inc,1,1147194.11
Progressive Educational Systems Inc.,1,1137531.86
Rdh Building Science Inc,1,1131354.0
Comms Audit Ltd,2,1130521.13
Visionex Enterprises Ltd,1,1130381.04
1933152 Ontario Inc.,2,1130000.0
Sunset Renewable Asset Managagement Inc.,1,1129824.85
Everest Automation Inc,2,1129503.93
Anyon Systems Inc.,1,1128967.68
GT Eagle Construction Group,2,1124691.82
Align Home Health Care,1,1119140.7
Intersystems Corporation,1,1112905.47
Intrepid General Limited,1,1112900.84
Solid Caddgroup Inc.,3,1111380.76
Applied Systems Canada Inc,1,1111290.58
Bmp (1985) Limited,1,1104901.78
"Rona Inc., A Division Of Lowes Canada",1,1102698.8
M P S Welding Inc,1,1102500.0
Latent Forensic Services Inc,1,1101546.6
4spg.com,2,1100882.5
"Queen's University, Housing And Ancillary Services",1,1090630.87
Memorial University Of Newfoundland,2,1088123.37
Dalhousie University,2,1087163.09
Fvb Energy Inc,2,1084194.36
Clearesult Consulting,1,1082087.21
M & R Engineering Ltd,3,1081804.8
Pivin & Drapeau Inc,1,1075016.25
Wan-den Mechanical,1,1073500.0
Spectec,1,1070353.84
Siemens Canada Limited/siemens Canada Limitée,4,1069424.09
Saint Mary's University,2,1067335.29
Advanis,2,1064496.02
Rooftech Systems Ltd,1,1063750.0
Hermont Marine Inc,3,1062871.0
"Consultant Aecom Inc. Aecom Consultant Inc., Aecom Canada Ulc, En Coentreprise",1,1057770.0
Dexterra,3,1054110.3
Welch Llp,1,1053990.0
Quantum Silicon Inc.,1,1052180.43
AG Creations Inc,1,1050000.0
"Cummins Eastern Canada, Cummins Est DU Canada, Cummins Sales And Service, Cummins Ventes ET Service",2,1048462.0
Century Group Inc,1,1048330.5
Briggs Septic Service Inc.,2,1046290.13
Avjet,1,1045067.68
Ipr 360 Inc.,1,1044362.91
Corporation De L'école Polytechnique De Montréal,1,1042000.0
Siemens Canada Ltée,1,1040817.18
Stennick General Contracting Ltd,2,1035000.0
Stern Power Systems Inc.,1,1031803.49
Gal Power Systems,3,1029696.66
CS Communication And Systems,1,1028494.66
Canadian Research Knowledge Network,1,1025923.87
Volkswagen AG,1,1021047.72
Hdt Expeditionary Systems Ltd,1,1020365.18
G.a. Innovation Ltd.,1,1018839.04
Sei Industries Ltd,1,1002296.0
Radiation Solutions Inc,2,1001326.9
Nissan Canada Inc,1,1000000.0
Polestar Canada,1,1000000.0
"Rivian, Llc",1,1000000.0
Hyundai Auto Canada Corp,1,1000000.0
Marinenav,1,1000000.0
Frontier Labs Pty Ltd,1,1000000.0
Kim Constructors Ltd,1,1000000.0
Norwin Roofing Ltd,1,1000000.0
Nokian Tyres Canada Inc / Pneus Nokian Canada Inc,2,1000000.0
Mdi,1,999925.0
Commodores Boats,1,999781.17
Ducks Unlimited Canada,1,999156.0
Pfm Construction,1,998113.92
Groupe Pentagone,1,998053.42
Quorex Construction Services Ltd,1,993713.7
Optave AI Solutions Inc.,1,986332.0
Arctic Petroleum Services Ltd,2,981766.26
Fisher & Paykel Healthcare,1,981122.5
Stanton Group Ltd,1,980000.0
Hotel Sepia,1,968618.39
Cohere Inc.,1,965790.0
Labware,1,963033.99
Canadian Pharmacists Association (cpha)/association Des Pharmaciens DU Canada (aphc),1,961508.22
Mdc,2,959629.68
Closereach,3,958170.36
Mega Technical Holdings,1,957050.0
René Blais Ltée,1,954545.46
Gip Marine Base & Warehousing Ltd.,1,953876.5
Cbi Millwright Services Ltd,1,953696.04
TA Instruments - Waters Llc,2,953442.44
Dhanuscribe Inc.,1,951101.57
University Of Toronto,1,950687.61
Keo Scientific Ltd.,1,950284.8
En-sci,1,941869.69
Big T Trucking Ltd,2,941836.85
Idees-daniel Crepeau,1,941546.25
Visiontec Systems,3,940160.0
Harveys Oil Ltd,1,939321.63
"Banctec (canada), Inc",1,933666.0
Building Knowledge Canada Inc,1,933280.82
Attocube Systems AG,1,930906.51
Wilcox Industries,2,930486.86
953731 Nwt Ltd,1,930000.0
Zeal Motor Inc,1,927260.0
Can-am Platforms & Construction,2,925758.47
Prism Engineering Ltd,1,921375.0
A-tech Roofing Ltd,1,920000.0
Maritime Environmental Services Inc.,1,920000.0
E Holland Contracting Inc,1,920000.0
Sony Biotechnology Inc,1,919158.26
Toronto And Region Conservation Authority,1,915850.0
Maerospace Corporation,1,915300.0
"Bio-response Solutions, Inc.",1,914985.5
Nature Nux,1,914485.92
Twistedoneoffs Contracting Ltd,2,912187.5
TK Elevator,3,911191.75
Woodwards Oil Ltd,2,907581.2
520710 Ont Ltd,1,907442.43
Lexisnexis Canada Inc,2,906737.7
Autobus BR Inc,1,905428.11
Overdrive Inc,1,905000.0
Railstate Services Ltd.,2,901104.71
Maxcraft Avionics Ltd,4,897539.64
Canadian Technical Solutions Inc.,1,896230.13
Technipro Bsl / 9491-3571 Québec Inc.,1,890421.59
Cyril Shokoples,1,890363.25
Carahsoft Canada Inc,2,888633.83
Alstef Canada Inc,1,887078.12
Bassett Petroleum,1,884550.0
Technorem/potvin,1,884015.18
Plantee Bioplastics Inc.,2,876813.86
Canadian Corps OF Commissionaires Newfoundland,1,875770.08
Grand Maison & Fils,1,874695.81
Interactive Audio Visual Inc,2,870364.76
Freebalance Inc,5,870105.57
Daniel Crepeau,1,869786.0
Dominion Divers,1,866736.06
Extermination Regionex Extermination,2,865755.15
Facta Global Inc,1,862312.5
Eh Cho Dene White Bear Joint Venture,1,861689.37
Romor Ocean Solutions,3,860193.57
Coastal Restoration & Masonry Ltd,1,860000.0
Maxxam Analytics,3,859332.75
Hubstream Llc,1,859146.9
Defran Incorporée,1,849185.3
Vaisala Canada Inc,2,844529.5
Vans Mobile Wash,1,842710.39
873076 Ontario Inc O/a Vans Mobile Wash,1,842710.39
Bubble Technology Industries Inc,1,840000.0
Dgbk Architects,2,838470.54
Miller Waste Systems,2,837763.86
Solana Networks Inc,1,835638.51
Canadian Police Knowledge Network (cpkn),2,834426.14
GE Lunar Idxa,1,832583.44
Aymes Medical,1,832583.44
Simon's Entertainment Empire,1,830299.05
Potencia Technologies Inc,1,830230.65
Big Bang Llc,1,829462.01
Clark Cooper Div Magnatrol Valve,1,827500.0
Automated Logic Canada Limited,3,820699.48
Blacks Corners Motorsports,1,820000.0
University Of Waterloo C/o Finance,2,818874.75
Ascenseurs Thyssen Montenay Inc,1,817085.0
Maple Plumbing & Heating Ltd.,1,816952.5
Spartan Industrial Marine,4,816558.01
Benchmark Mineral Intelligence,1,813940.31
Leob Packaging,1,812983.02
Greendale Resources Inc,1,812820.0
Regina Metal Industries Ltd,1,806279.0
E-zee Gas Services,1,805000.0
Echosec Systems Ltd,1,803788.91
Royal Ottawa Health Care Group /services DE Sante Royal Ottawa,1,802300.0
Atlantic Compressed Air Ltd,2,800685.92
Siemens Energy Canada Ltd,1,800000.0
Spectra Power Sports Ltd,1,800000.0
Toyo Tire Canada Inc,1,800000.0
Thermal Energy System Specialists Llc,1,800000.0
"Mediterraneo Senales Maritimas, Sll",2,800000.0
Moffat & CO,1,799266.6
The Project Blue Group Limited,1,797573.45
Equinox Construction Services,1,795344.85
West Coast Cranes,1,792204.0
Thinkon Inc.,1,790087.5
Groupe Bel Cour Inc,1,789752.58
Workdynamics Technologies Inc,4,785418.49
Win-shield Medical Devices Inc.,1,784000.0
Illuminex AI,1,780357.18
Kai,1,779700.0
Shortline Moving,1,778564.0
Groupe D'investissement ET DE Développement Communautaire Mecatina Inc.,1,776081.25
Fisher International,2,775713.03
Brs,1,772680.22
Ultra Electronics Maritime Systems Inc,1,771916.8
Aerocorp Avionic Solutions Inc,1,771259.36
Edwards Vacuum Llc,1,770653.89
Eco Waste Solutions,1,766359.5
Armour Lock And Safe Ltd,2,764735.05
9672354 Canada Inc,1,759784.93
Groupe Abs,1,758835.0
Bruker Axs Inc,3,758201.75
Solutions Superieures,1,756353.46
"Roche Diagnostics, Division Of Hoffmann-la Roche Limited",3,754914.4
Atlantic Ventilation Cleaning Ltd,1,753255.0
Gmak Global Inc.,6,752898.75
Mirems Ltd,1,752580.0
Research Triangle Institute,1,751767.21
Cullen Diesel Power Ltd,2,750729.0
Qillaq Innovations,1,750000.0
Government Of Yukon,1,750000.0
Kepler Communications,1,747337.0
Hatch,1,747150.22
Advantec Manufacturing Usa Inc,2,745737.62
"Denicourt, Arpenteurs-geometres Inc",1,745391.55
Johnson Controls,3,744737.16
Incendia Canada Inc.,2,744050.0
"Beanfield And Enercare Centre, Exhibition Place",1,738919.34
Esquimalt Indian Band Accounting Office,1,735000.0
Songhees First Nation,1,735000.0
Graebeck Construction Ltd,1,734810.71
Ada Support,1,733750.0
Superior Propane,4,730856.72
Daniel Underhill,2,730250.0
Banque Nationale DU Canada,2,730154.0
Canberra CO,3,728987.3
Ernst Hansch Construction Ltd,1,726678.8
Western Materials Handling & Equipment Ltd,2,715225.55
Toromont Cat (québec),2,712367.04
Euromonitor International,1,711959.0
"Groupm, Wpp",1,711900.0
Clarivate Analytics (uk) Ltd,4,708012.86
Thomson Reuters,2,704214.07
Schottel Inc,2,703902.21
Liv North Inc,1,700000.0
Evoke Buildings Engineering Inc,1,699048.0
American Chemical Society,3,694727.68
The Bank OF Nova Scotia,2,693300.0
Cvtcorp,1,692115.01
Advantec Manufacturing Canada Inc,1,690976.11
2961-3403 Québec In.,1,690712.32
"Taylor & Francis Group, Llc",3,690627.6
D.c. Electrical Service & Maintenance Inc.,1,690000.0
Serco Facilities Management Inc,1,689850.0
Bird Infrastructure Ltd.,1,687269.52
Technologies Ki3 Photoniques Inc./ Ki3 Photonics Technologies Inc.,1,686183.15
Westower Communication,1,685416.1
Fisheries And Marine Institute,1,685361.37
6166700 Mb Ltd,1,682500.0
Dixie Cleaners & Laundry Services,1,678000.0
Melanie Randall,1,675598.75
Drake Cleanup Systems,1,669620.85
Graphiscan Montreal Inc,1,665999.4
Ocwa,1,660102.15
Air Borealis,1,659667.6
Modern Niagara Building Services,1,659549.02
Falcon Environmental Inc,1,659277.03
Garcia And Sons Transfer Ltd,1,657825.0
Ecclestone Horse Transport Inc.,1,655875.0
Controls & Equipment,3,655202.0
Opentext,3,654723.18
Premier Continuum Inc,1,654530.74
Pug Pharm Productions Inc,2,651908.26
École Nationale D'aérotechnique,1,651000.0
6415458 Canada Inc,2,650308.6
University Of Manitoba,2,649359.0
Cohesive,2,649278.42
Atlantic Business Interiors,2,647563.18
Honeywell Solution Bâtiment,1,645509.64
Proton Onsite,2,642976.78
Fabron,2,641801.94
Hub City Holdings Limited,1,641250.0
Ernst & Young Electronic Publishing Services Inc,1,640582.01
Mazak Corporation Canada,1,639224.21
Exclaro (14336186 Canada Corp),1,638998.42
Institute For Earth & Space Exploration,1,635105.96
Les Gazons Michel Inc,1,634662.0
Total Power Ltd,2,634065.68
Mark Walker,1,632500.0
Northgate Public Services (canada) Ltd,1,632363.0
Global Furniture Group,3,632218.33
Nikon Canada Inc,1,632197.83
Haver Analytics,3,631045.0
Centre Du Camion Autovan Inc,1,630005.52
City Of Prince George,1,623686.15
North Star Imaging,1,621608.83
National Band And Tag,1,621251.4
Septentrio Inc,2,619509.64
Tacteris Systems Inc,1,619275.0
Teledyne Geospatial,3,618800.74
Air Quality Egg,1,615978.31
Windrock Inc,1,615845.0
Harbourside Engineering Consultants,2,615126.14
J.c.a.r.l Construction Inc,1,611225.48
Global Lodging Management Corporation,2,610973.53
"Union Biometrica, Inc.",1,610652.62
Heli-inter Inc,1,610000.0
Sea,1,609158.73
Asbex Environmental Contractors,1,608250.21
Alliance Tree Care Inc.,1,606669.0
Avo Vehicle Outfitting Inc.,1,603780.73
Cad Microsolutions,3,601031.65
Keystone Supplies CO Canada Ltd,1,600000.0
Nova Enterprises Ltd,1,595706.72
The Davey Tree Expert CO OF Canada Ltd,1,595674.55
HD Maintenance,1,594390.65
Team JP Contracting,2,594380.0
Jean Marc Pasquier,1,592063.5
"Rooney, Irving And Associates Ltd",2,585950.2
Aircom Technologies Inc,1,585222.75
Black Rainbow Consulting Limited,1,584073.0
Sartorius Mechatronics Corporation,2,582927.73
Derko Ltée_48967,1,581936.87
Opti-tech Scientific Inc,1,580340.04
Divex,1,576001.98
Palmer Enterprises Ltd,1,575000.0
Carahsoft Technology Corp,3,570877.57
Superior Power Products Ltds,1,570000.0
The Edge Firm,2,569250.0
G A L Power Systems Ottawa Ltd,2,568915.98
C W Shasky And Associates Ltd,1,565788.16
Aztec Builders Ltd,1,562380.0
"Vwr International, CO",4,559043.33
S&p Global Market Intelligence,4,558766.94
13887715 Canada Inc.,1,557969.09
Spiria Digital Inc.,1,551880.0
1x1 Architecture Inc.,2,550926.6
Towneplace Suites By Marriott Victoria Airport Sidney,1,550779.6
Senstar Corporation,2,550642.0
Wyatt Technology Corporation,1,550496.6
Gendron Lefebvre Arpenteurs-géomètres,1,549810.46
Global Ship Solutions,5,546861.68
Pagui Inc,1,544481.36
TJ Nolan Construction Ltd,1,543324.0
Cossette Voyer,3,543233.88
"The Mathworks, Inc",2,542535.14
Tradewind Scientific Ltd,1,542400.0
GE Healthcare,1,540533.3
Qiagen,4,537589.47
Cru International Ltd,1,537093.14
Twin Paradox Labs Inc.,1,536899.35
Quaze Technologies Inc.,1,536866.79
Mahihkan,1,536750.01
Jdp,1,536750.0
Chase Office Interiors Inc,4,536471.47
Devantec IT And Security Solutions,1,535800.0
Kinburn Farm Supply Ltd,1,535224.5
Pgl Environmental Ltd,1,525000.0
H K K International,1,525000.0
Beecher Bay Band Council,1,525000.0
Tayco Paving Company,1,525000.0
Seven Lakes Oilfield Services,1,525000.0
Kryotek Arctic Innovation Inc,1,523089.0
American Bureau OF Shipping Abs Plaza,2,521510.0
Jennifer Llewellyn,1,521411.0
Ghd Consultants Ltd. Ghd Consultants Ltée,1,520258.49
G&b Fuels Inc,1,518432.7
Chemtrade Logistics Inc.,1,517500.0
Colonial Garage & Distributors Ltd,1,517500.0
Wyvern,1,516672.0
Chubb,2,516009.17
Schooner General Contracting Ltd,1,516000.0
Csi Shielding Inc,1,516000.0
Tiger Electrical Technologies Ltd,1,516000.0
Ats Scientific Inc,4,515247.64
Bhullars Construction Ltd,1,514500.0
Intelcenter,1,511649.11
Deutsches Zentrum Für Luft- Und Raumfahrt E.v. (dlr),1,508150.41
Planview Technologies Inc,1,507125.98
DL Heritage Inc.,1,503161.69
Vwr International CO - DO Not Use,3,501755.48
Skadra,1,500716.13
Ksd Collision Investigation And Analysis,1,500020.0
Esm,1,500000.0
Allied Marine & Industrial,1,500000.0
Bell Mts,1,500000.0
Ship Shape Laundry & Dry Cleaners Ltd,1,497888.62
"Geometrics, Inc",1,496766.69
Pierre Turmel,1,495829.69
Narwhal Plumbing & Heating,1,492108.75
Les Entreprises Prebbel Enterprises Inc,1,492014.71
Ketek Infinity,1,489659.63
City Of Burnaby,1,488366.4
Ezsec,1,486708.75
Wilson Home Building Ctr,1,485900.0
Dnastack Corp.,1,483979.0
Spatial Technologies Partnership Group,1,483000.0
Technitrad,1,482895.0
Graden Instruments Inc.,4,482112.76
Mps Property Services Ltd.,1,480530.24
Zen Innovations AG,1,480000.0
Arcast Inc.,1,478470.93
Jeff's Installation,1,476780.06
Tenaquip Ltd,1,475471.23
Trinity Western University,1,473710.96
Logiq Innovations,1,472636.74
Avant Systems Group Manitoba,2,470581.96
Bio-rad Laboratories (canada) Limted,4,469686.24
The Hospital For Sick Children/department OF Paediatrics,3,468449.93
Lac Seul First Nation,1,466734.07
Rapiscan Systems,1,464147.04
Ipss Inc.,3,463986.07
688262 NB Ltd,2,462875.35
Glasshouse Systems Inc,2,461861.96
Mediaqmi Inc,1,461447.45
Baxtec Mechanical Services,1,460966.55
Nuvis Technologies Inc,1,460694.22
D&l Engineering,2,460000.0
Bowser Technical Inc,1,459900.0
Edifican,1,459900.0
Fast Consulting,1,459900.0
Whissell Land Corp,1,459000.0
"Sgs Saint John Diving, Ulc",1,458945.28
Turcotte (1989) Inc.,1,458696.21
Asbestos Abatement,1,456000.0
Atlantic Ventcare Inc.,1,456000.0
Cimel Electronique,1,455429.51
Leica Microsystems (canada) Inc,2,453307.83
Srp Petroleum A Division OF Srp North Ventures Ltd,1,450882.0
Sayari,1,448967.31
Avilar Technologies Inc,1,447712.65
Power Measurement Technologies Inc,1,447135.35
Eastpoint Engineering Limited,3,444654.88
Hill Times Publishing Inc / Publications Hill Times Inc,2,444444.97
Thermo-calc Software Inc.,1,442463.75
Gosse's Landscaping Ltd,1,442065.75
King's Services,1,441000.0
Sun Heating & Air Conditioning Ltd,1,436017.67
