source_file,column_name,current_status,commercial_potential,notes
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityName-nomEntitContractante-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,endUserEntitiesName-nomEntitesUtilisateurFinal-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,endUserEntitiesAddress-adresseEntitesUtilisateurFinal-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,endUserEntitiesName-nomEntitesUtilisateurFinal-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,endUserEntitiesAddress-adresseEntitesUtilisateurFinal-fra,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoName-informationsContactNom,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoEmail-informationsContactCourriel,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoPhone-contactInfoTelephone,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoFax,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoAddressLine-contactInfoAdresseLigne-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoCity-contacterInfoVille-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoProvince-contacterInfoProvince-eng,inventory_only,to_be_scored,
all_canadabuys_award_notices_2022_08_08_onwards.csv,contactInfoPostalcode,inventory_only,to_be_scored,
