evidence_id,opportunity_id,source_node_id,source_node_name,source_node_type,source_category,relationship_type,target_node_id,target_node_name,target_node_type,target_category,confidence,evidence_basis,created_at
OPPEV-000026,OPPINT-000001,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery,affects_pricing,KGNODE2-000013,Unit Price,Pricing Structure,Commercial,0.68,delivery_pricing_inference,2026-06-30 11:19:16
OPPEV-000027,OPPINT-000001,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery,affects_pricing,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial,0.68,delivery_pricing_inference,2026-06-30 11:19:16
OPPEV-000028,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000029,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000030,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000031,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000032,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000033,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,administers_acquisition,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition,0.72,role_inference,2026-06-30 11:19:16
OPPEV-000034,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,issues_or_receives_submission_instruction,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.7,role_inference,2026-06-30 11:19:16
OPPEV-000035,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000036,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000037,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000038,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000039,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000040,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,uses_acquisition_method,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition,0.66,agency_inference,2026-06-30 11:19:16
OPPEV-000041,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Agency,has_domain_requirement,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain,0.66,agency_domain_inference,2026-06-30 11:19:16
OPPEV-000042,OPPINT-000001,KGNODE2-000007,Marine Corps Base Camp Lejeune,Military Installation,Operations,may_define_place_of_performance,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery,0.62,facility_delivery_inference,2026-06-30 11:19:16
OPPEV-000043,OPPINT-000001,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,may_result_in_contract_type,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial,0.66,name_based_procurement_inference,2026-06-30 11:19:16
OPPEV-000044,OPPINT-000001,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical,specializes,KGNODE2-000025,Statement of Work,Technical Requirement,Technical,0.84,canonical_name_inference,2026-06-30 11:19:16
