canonical_expression_id,canonical_expression,canonical_expression_key,canonicalization_method,normalized_expression_ids,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
CPX2-000054,Only Applies To Amendments,only applies to amendments,title_case_short_expression,NPE-000064,fd44800647f3e6d5e0b38e8d78c9d1564220c62c45f6528f50f67eed0b8544c0,1,4,SP-000337,filtered_pattern,9,0.48,2026-06-28 02:37:22
CPX2-000055,Solicitation Is Amended,solicitation is amended,title_case_short_expression,NPE-000065,ad32ae6526fe6e93d778d2b98d9daddf7667d94db56eb2ae1d58e4ebc1f3e39e,1,4,SP-000330,filtered_pattern,8,0.46,2026-06-28 02:37:22
CPX2-000056,The Above Numbered Solicitation,the above numbered solicitation,title_case_short_expression,NPE-000066,9e71fd1e0ab461ad4e9edd553ab12e636acb80f0bab1c8eac4ab7780cacb3c4f,1,4,SP-000340,filtered_pattern,9,0.48,2026-06-28 02:37:22
CPX2-000057,To Award A,to award a,title_case_short_expression,NPE-000067,2a3bd7940ca54222cce336bfaba3e72889848aaf02328b46695ca1ef7645b613,1,4,SP-000379,filtered_pattern,8,0.46,2026-06-28 02:37:22
CPX2-000058,Veterans Affairs National Cemetery,veterans affairs national cemetery,title_case_short_expression,NPE-000068,51fdd6eafefdd03bf550bb68d1a1f543ec45ef6a359ae8008f4adcdc4d3cdd52,1,4,SP-000410,filtered_pattern,9,0.48,2026-06-28 02:37:22
CPX2-000059,Army Mil Proposal Default,army mil proposal default,title_case_short_expression,NPE-000069,aeb0ce6ae618082f52a0be386cb1b680f474f3cbecbebd7358338c5e398d9ea6,1,3,SP-000839,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000060,Award A Firm Fixed,award a firm fixed,title_case_short_expression,NPE-000070,45869dd45032aeb66573c02b4a6f7729f5fe7d14e99c3cd51570feed55f0f3d0,1,3,SP-000660,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000061,Award Will Be Made,award will be made,title_case_short_expression,NPE-000071,e2a5e58f76aa3fc77d3dc8f16dd508b73b80b1227682219fa661fac19eee139f,1,3,SP-000680,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000062,Chess Army Mil Proposal,chess army mil proposal,title_case_short_expression,NPE-000072,bde272071f43b27758051a0ebdefb1add0f1f00444e485bf95bcaa6ea2fc71ca,1,3,SP-000838,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000063,Cl Marine Corps Base,cl marine corps base,title_case_short_expression,NPE-000073,3efc6dbed53d94976f20ef51877067073eba4fcde3b880671d8603d97b57465d,1,3,SP-000916,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000064,Copies Of The Amendment,copies of the amendment,title_case_short_expression,NPE-000074,d1804f07ae3c1e6ae2883b5f5142261599f3c7bb515fe6ac1fde1f5369a6dfcd,1,3,SP-000600,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000065,Far And Dosar Provisions,far and dosar provisions,title_case_short_expression,NPE-000075,62739c392ee95e3cad296650fd4fd0f0ba7a4bc9ede90c6342e622e8453eb8cf,1,3,SP-000868,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000066,Food And Drug Administration,food and drug administration,title_case_short_expression,NPE-000076,a6424c0d31e512e25920aacd622e0497dd231926ebc428c40ed0305c0b3de2b5,1,3,SP-000749,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000067,Mil Proposal Default Index,mil proposal default index,title_case_short_expression,NPE-000077,ae1f086e1580438e343541a3f41523b044e1904285d82c7d8a51156c1ef95136,1,3,SP-000840,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000068,Page Of Pages Amendment,page of pages amendment,title_case_short_expression,NPE-000078,1af517725d5da325e70ad36ca69b8f3d0b1972e2342c2038705631c90d63598a,1,3,SP-000619,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000070,Renovation Cl Marine Corps,renovation cl marine corps,title_case_short_expression,NPE-000080,981c62fd57df4c9efc6832021925e71bb96b33e589c7cdbbc134357d945734d1,1,3,SP-000915,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000069,Request for Quotation,request for quotation,contains_canonical_dictionary_term,NPE-000079,b3c961178e926e80e352688ddf8715c4b2763e875055769507f4cb0bd6891fc0,1,3,SP-000761,filtered_pattern,9,0.46,2026-06-28 02:37:22
CPX2-000071,Solicitation To The Responsible,solicitation to the responsible,title_case_short_expression,NPE-000081,fcc2b59bcca03a812378f209f4e2aa76186d01bdbe513ce7913f8dac65567904,1,3,SP-000662,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000072,The Responsible Offeror Whose,the responsible offeror whose,title_case_short_expression,NPE-000082,14659e6e0127d9a8d68e09bf9f14e1bdde0847533c4c229bad11b1f057b28872,1,3,SP-000664,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000073,To The Responsible Offeror,to the responsible offeror,title_case_short_expression,NPE-000083,3a09538fd06c19cd86a3f3452f6a5e808be8f03a12faf3bbe83aa8bd15e5cc5a,1,3,SP-000663,filtered_pattern,8,0.44,2026-06-28 02:37:22
CPX2-000074,Payment and Invoice,payment and invoice,exact_canonical_dictionary_match,NPE-000084,c5e391681b6b21cfada1e81c58b7c140d2ebb4b52cea994f6521205cf8cd4966,1,2,SPO-000093,semantic_object_v1,20,0.78,2026-06-28 02:37:22
