candidate_value,frequency,proposed_labels,quality_score,recommendation
Federal,38,unclassified,0,reject_candidate
Date,25,unclassified,0,reject_candidate
CONTRACTOR,25,unclassified,0,reject_candidate
UNIT,22,unclassified,0,reject_candidate
Item,21,unclassified,0,reject_candidate
United,19,unclassified,0,reject_candidate
States,19,unclassified,0,reject_candidate
Address,18,unclassified,0,reject_candidate
Quotes,18,unclassified,0,reject_candidate
DATE,16,unclassified,0,reject_candidate
Offers,14,unclassified,0,reject_candidate
Name,14,unclassified,0,reject_candidate
GOVERNMENT,14,unclassified,0,reject_candidate
Unit,9,unclassified,0,reject_candidate
AMOUNT,8,unclassified,0,reject_candidate
Total,8,unclassified,0,reject_candidate
WITH,7,unclassified,0,reject_candidate
Time,6,unclassified,0,reject_candidate
Email,5,unclassified,0,reject_candidate
Test,4,unclassified,0,reject_candidate
Gate,4,unclassified,0,reject_candidate
Same,3,unclassified,0,reject_candidate
Food,3,unclassified,0,reject_candidate
Drug,3,unclassified,0,reject_candidate
THAT,3,unclassified,0,reject_candidate
Camp,3,unclassified,0,reject_candidate
BLOCK,2,unclassified,0,reject_candidate
QUOTE,2,buyer_process_or_document,0,reject_candidate
Type,2,unclassified,0,reject_candidate
TOTAL,2,unclassified,0,reject_candidate
Long,2,unclassified,0,reject_candidate
Clin,2,unclassified,0,reject_candidate
City,2,unclassified,0,reject_candidate
Park,2,unclassified,0,reject_candidate
Hous,2,unclassified,0,reject_candidate
