ranking_id,search_result_id,search_request_id,node_id,rank,final_score,exact_score,lexical_score,relationship_score,confidence_score,domain_boost,created_at
GSRANK-000044,GSRES-000044,GSRQ-000006,KGNODE2-000029,3,0.6201,,1.0,1.0,0.701,0.15,2026-06-29 22:06:49
GSRANK-000045,GSRES-000045,GSRQ-000006,KGNODE2-000003,4,0.3673,,0.3333,0.3333,0.84,0.15,2026-06-29 22:06:49
GSRANK-000046,GSRES-000046,GSRQ-000006,KGNODE2-000007,5,0.3587,,0.6667,0.6667,0.92,0.0,2026-06-29 22:06:49
GSRANK-000047,GSRES-000047,GSRQ-000006,KGNODE2-000002,6,0.2223,,0.3333,0.3333,0.89,0.0,2026-06-29 22:06:49
GSRANK-000048,GSRES-000048,GSRQ-000006,KGNODE2-000005,7,0.2144,,0.3333,0.3333,0.811,0.0,2026-06-29 22:06:49
GSRANK-000049,GSRES-000049,GSRQ-000006,KGNODE2-000016,8,0.2067,,0.3333,0.3333,0.734,0.0,2026-06-29 22:06:49
GSRANK-000050,GSRES-000050,GSRQ-000006,KGNODE2-000025,9,0.206,,0.3333,0.3333,0.727,0.0,2026-06-29 22:06:49
GSRANK-000051,GSRES-000051,GSRQ-000006,KGNODE2-000021,10,0.2039,,0.3333,0.3333,0.706,0.0,2026-06-29 22:06:49
GSRANK-000052,GSRES-000052,GSRQ-000007,KGNODE2-000010,1,0.666,,1.0,0.0,0.86,0.15,2026-06-29 22:06:49
GSRANK-000053,GSRES-000053,GSRQ-000008,KGNODE2-000001,1,0.9102,,1.0,0.75,0.902,0.12,2026-06-29 22:06:49
GSRANK-000054,GSRES-000054,GSRQ-000008,KGNODE2-000019,2,0.8544,,1.0,0.5,0.719,0.12,2026-06-29 22:06:49
GSRANK-000055,GSRES-000055,GSRQ-000008,KGNODE2-000004,3,0.5002,,0.75,0.75,0.802,0.12,2026-06-29 22:06:49
GSRANK-000056,GSRES-000056,GSRQ-000008,KGNODE2-000024,4,0.4568,,0.75,0.5,0.743,0.12,2026-06-29 22:06:49
GSRANK-000057,GSRES-000057,GSRQ-000008,KGNODE2-000011,5,0.412,,0.5,0.5,0.92,0.12,2026-06-29 22:06:49
GSRANK-000058,GSRES-000058,GSRQ-000008,KGNODE2-000012,6,0.3977,,0.5,0.5,0.777,0.12,2026-06-29 22:06:49
GSRANK-000059,GSRES-000059,GSRQ-000008,KGNODE2-000020,7,0.3969,,0.5,0.5,0.769,0.12,2026-06-29 22:06:49
GSRANK-000060,GSRES-000060,GSRQ-000008,KGNODE2-000017,8,0.3961,,0.5,0.5,0.761,0.12,2026-06-29 22:06:49
GSRANK-000061,GSRES-000061,GSRQ-000008,KGNODE2-000023,9,0.3918,,0.5,0.5,0.718,0.12,2026-06-29 22:06:49
GSRANK-000062,GSRES-000062,GSRQ-000008,KGNODE2-000028,10,0.3912,,0.5,0.5,0.712,0.12,2026-06-29 22:06:49
GSRANK-000063,GSRES-000063,GSRQ-000009,KGNODE2-000024,1,0.7943,,0.75,0.5,0.743,0.12,2026-06-29 22:06:49
GSRANK-000064,GSRES-000064,GSRQ-000009,KGNODE2-000023,2,0.5718,,0.5,0.5,0.718,0.12,2026-06-29 22:06:49
GSRANK-000065,GSRES-000065,GSRQ-000009,KGNODE2-000011,3,0.612,,1.0,1.0,0.92,0.12,2026-06-29 22:06:49
GSRANK-000066,GSRES-000066,GSRQ-000009,KGNODE2-000001,4,0.6102,,1.0,1.0,0.902,0.12,2026-06-29 22:06:49
GSRANK-000067,GSRES-000067,GSRQ-000009,KGNODE2-000004,5,0.6002,,1.0,1.0,0.802,0.12,2026-06-29 22:06:49
GSRANK-000068,GSRES-000068,GSRQ-000009,KGNODE2-000006,6,0.482,,1.0,1.0,0.82,0.0,2026-06-29 22:06:49
GSRANK-000069,GSRES-000069,GSRQ-000009,KGNODE2-000017,7,0.3961,,0.5,0.5,0.761,0.12,2026-06-29 22:06:49
GSRANK-000070,GSRES-000070,GSRQ-000009,KGNODE2-000028,8,0.3912,,0.5,0.5,0.712,0.12,2026-06-29 22:06:49
GSRANK-000071,GSRES-000071,GSRQ-000009,KGNODE2-000019,9,0.3544,,0.5,0.25,0.719,0.12,2026-06-29 22:06:49
GSRANK-000072,GSRES-000072,GSRQ-000009,KGNODE2-000012,10,0.3352,,0.25,0.5,0.777,0.12,2026-06-29 22:06:49
GSRANK-000073,GSRES-000073,GSRQ-000010,KGNODE2-000013,1,0.729,,0.5,0.25,0.79,0.15,2026-06-29 22:06:49
GSRANK-000074,GSRES-000074,GSRQ-000010,KGNODE2-000029,2,0.6251,,0.75,0.25,0.701,0.15,2026-06-29 22:06:49
GSRANK-000075,GSRES-000075,GSRQ-000010,KGNODE2-000003,3,0.634,,1.0,1.0,0.84,0.15,2026-06-29 22:06:49
GSRANK-000076,GSRES-000076,GSRQ-000010,KGNODE2-000022,4,0.474,,1.0,1.0,0.74,0.0,2026-06-29 22:06:49
GSRANK-000077,GSRES-000077,GSRQ-000010,KGNODE2-000006,5,0.182,,0.25,0.25,0.82,0.0,2026-06-29 22:06:49
